Description;Publicité;DPE;Référence;Photo principale;Nature;Prix;Adresse;Chambres;Propriétaire;Etat;Locataire;Négociateur;Activité;Agence d'origine;Prix m²;Sous-activité;Date Livraison Initiale;Nombre de pièces;Loyer mensuel;Date Livraison Révisée;Nombre d'étages;Ascenseur;Espaces extérieurs;Stationnement;Type mandat;V4 API - Crossfunding test;Surface;Charges mensuelles;Bâtiment;Date de disponibilité;Exclusivité;N° de clés;Dernière action;Prochaine étape;Statut;Archiver;Ville;Numéro lot;Commercial;Dernière modification;Inter Agence;Mandat date début;Mandat date échéance;Mandat date echéance exclusivité;Numéro mandat;Code postal;Date du bail;Durée du bail;Next break;Date de fin du bail;Type de transaction;Zone
;;;159;;Appartement;30 €;20, rue Bellevue 8013 Strassen , Luxembourg;4;;;;;;;;;;;;;;0;;;;;60.00;10.00;;;;;;;;;Strassen;;M. Crossfunding Test;27/05/2021;1;;;;;8013;;;;;;
;;;160;;Appartement;26 €;26, rue Bellevue 8013 Strassen , Luxembourg;2;;;;;;;;;;;;;;0;;;;;26.00;;;;;;;;;;Strassen;;M. Crossfunding Test;27/05/2021;1;;;;;8013;;;;;;
;;;158;;Appartement;0 €;19, rue Bellevue 8013 Strassen , Luxembourg;2;;;;;;;;;;;;;;0;;;;;60.00;;;;;;;;;;Strassen;;M. Crossfunding Test;27/05/2021;1;;;;;8013;;;;;;Centre
;;;143;;Appartement;350 €;17, rue Bellevue 8013 Strassen , Luxembourg;1;;;;;;;;;;;;;;0;;;;;20.00;30.00;;;;;;;;;Strassen;;M. Crossfunding Test;23/03/2021;1;;;;;8013;;;;;;
;;A;142;;Appartement;700 €;19, rue Bellevue 8013 Strassen , Luxembourg;2;;;;;;;;;;;;;5;1;;;;;50.00;150.00;;;;;;;;;Strassen;;M. Crossfunding Test;16/03/2021;1;;;;;8013;;;;;;
;;;139;;Appartement;1250 €;1, rue Bellevue 8013 Strassen , Luxembourg;2;;;;;;;;;;;;;;0;;;;;123.00;50.00;;;;;;;;;Strassen;;M. Crossfunding Test;16/03/2021;1;;;;;8013;;;;;;Centre
;;A;133;;Maison;1200 €;7, rue Bellevue 8013 Strassen , Luxembourg;4;;;;;;;;;;;;;;0;;1;;;230.00;120.00;;immédiate;;;;;;;Strassen;;M. Crossfunding Test;16/03/2021;1;;;;;8013;;;;;;Centre
;;;132;;Appartement;1500 €;11, rue Bellevue 8013 Strassen , Luxembourg;10;;;;;;;;;;;;;;0;;;;;500.00;150.00;;;;;;;;;Strassen;;M. Crossfunding Test;16/03/2021;1;;;;;8013;;;;;;Centre
;;A;131;;Appartement meublé;900 €;15, rue Bellevue 8013 Strassen , Luxembourg;2;;;;;;;;;;;;;12;0;;;;;45.00;;;immédiate;;;;;;;Strassen;;M. Crossfunding Test;16/03/2021;1;;;;;8013;;;;;;Centre
;;A;130;;Maison;1150 €;15, rue Glesener L - 1631 Luxembourg , Luxembourg;3;;;;;;;5;;;;;;2;0;;1;;;110.00;500.00;;immédiate;;;;;;;Luxembourg;1;M. Crossfunding Test;16/03/2021;1;;;;;L - 1631;;;;;;Luxembourg-Centre
;;;134;;Bourgeoise;1100 €;17, millewee 8110 Strassen , Luxembourg;3;;;;;;;;;;;;;1;0;;;;;123.00;500.00;;immédiate;;;;;;;Strassen;1;M. Crossfunding Test;16/03/2021;1;;;;;8110;;;;;;Centre
